source_row_index,AI SYSTEM,AUTHOR,DATE,SYSTEM TYPE,ARC-AGI-1,ARC-AGI-2,ARC-AGI-3,COST/TASK,COST (V3),CODE / PAPER,eval_id,eval_row_id,eval_model_label,eval_variant_label,source_date,score_arc_agi_1,score_arc_agi_2,score_arc_agi_3,score_numeric,cost_per_task,cost_v3,score_label
91,Hierarchical Reasoning Model (HRM),Bespoke,07.08.2025,,32.0%,2.0%,,$1.68,,—,arc_agi_2,arc_agi_2:0091:hierarchical_reasoning_model_hrm,Hierarchical Reasoning Model (HRM),Hierarchical Reasoning Model (HRM),2025-08-07,32.0,2.0,,2.0,1.68,,ARC-AGI-2
92,Grok 4 (Refine.),J. Berman,07.08.2025,Refinement,79.6%,29.4%,,$30.40,,💻,arc_agi_2,arc_agi_2:0092:grok_4_refine,Grok 4 (Refine.),Grok 4 (Refine.),2025-08-07,79.6,29.4,,29.4,30.4,,ARC-AGI-2
93,Grok 4 (Refine.),E. Pang,07.08.2025,Refinement,77.1%,26.0%,,$3.97,,💻,arc_agi_2,arc_agi_2:0093:grok_4_refine,Grok 4 (Refine.),Grok 4 (Refine.),2025-08-07,77.1,26.0,,26.0,3.97,,ARC-AGI-2
94,Qwen3-235b-a22b Instruct (25/07),Alibaba,25.07.2025,Base LLM,11.0%,1.3%,,$0.004,,📄,arc_agi_2,arc_agi_2:0094:qwen3_235b_a22b_instruct_25_07,Qwen3-235b-a22b Instruct (25/07),Qwen3-235b-a22b Instruct (25/07),2025-07-25,11.0,1.3,,1.3,0.004,,ARC-AGI-2
95,Grok 4 (Thinking),xAI,09.07.2025,CoT,66.7%,16.0%,,$2.17,,📄,arc_agi_2,arc_agi_2:0095:grok_4_thinking,Grok 4 (Thinking),Grok 4 (Thinking),2025-07-09,66.7,16.0,,16.0,2.17,,ARC-AGI-2
96,Gemini 2.5 Pro (Thinking 1K),Google,17.06.2025,CoT,16.0%,0.0%,,$0.088,,📄,arc_agi_2,arc_agi_2:0096:gemini_2_5_pro_thinking_1k,Gemini 2.5 Pro (Thinking 1K),Gemini 2.5 Pro (Thinking 1K),2025-06-17,16.0,0.0,,0.0,0.088,,ARC-AGI-2
97,Gemini 2.5 Pro (Thinking 8K),Google,17.06.2025,CoT,29.5%,2.9%,,$0.444,,📄,arc_agi_2,arc_agi_2:0097:gemini_2_5_pro_thinking_8k,Gemini 2.5 Pro (Thinking 8K),Gemini 2.5 Pro (Thinking 8K),2025-06-17,29.5,2.9,,2.9,0.444,,ARC-AGI-2
98,Gemini 2.5 Pro (Thinking 16K),Google,17.06.2025,CoT,41.0%,4.0%,,$0.715,,📄,arc_agi_2,arc_agi_2:0098:gemini_2_5_pro_thinking_16k,Gemini 2.5 Pro (Thinking 16K),Gemini 2.5 Pro (Thinking 16K),2025-06-17,41.0,4.0,,4.0,0.715,,ARC-AGI-2
99,Gemini 2.5 Pro (Thinking 32K),Google,17.06.2025,CoT,37.0%,4.9%,,$0.757,,📄,arc_agi_2,arc_agi_2:0099:gemini_2_5_pro_thinking_32k,Gemini 2.5 Pro (Thinking 32K),Gemini 2.5 Pro (Thinking 32K),2025-06-17,37.0,4.9,,4.9,0.757,,ARC-AGI-2
100,o3-Pro (Low),OpenAI,10.06.2025,CoT + Synthesis,44.3%,2.1%,,$2.23,,📄,arc_agi_2,arc_agi_2:0100:o3_pro_low,o3-Pro (Low),o3-Pro (Low),2025-06-10,44.3,2.1,,2.1,2.23,,ARC-AGI-2
101,o3-Pro (Medium),OpenAI,10.06.2025,CoT + Synthesis,57.0%,1.9%,,$4.74,,📄,arc_agi_2,arc_agi_2:0101:o3_pro_medium,o3-Pro (Medium),o3-Pro (Medium),2025-06-10,57.0,1.9,,1.9,4.74,,ARC-AGI-2
102,o3-Pro (High),OpenAI,10.06.2025,CoT + Synthesis,59.3%,4.9%,,$7.55,,📄,arc_agi_2,arc_agi_2:0102:o3_pro_high,o3-Pro (High),o3-Pro (High),2025-06-10,59.3,4.9,,4.9,7.55,,ARC-AGI-2
103,Magistral Small,Mistral,10.06.2025,CoT,5.0%,0.0%,,$0.049,,📄,arc_agi_2,arc_agi_2:0103:magistral_small,Magistral Small,Magistral Small,2025-06-10,5.0,0.0,,0.0,0.049,,ARC-AGI-2
104,Magistral Medium,Mistral,10.06.2025,CoT,5.9%,0.0%,,$0.108,,📄,arc_agi_2,arc_agi_2:0104:magistral_medium,Magistral Medium,Magistral Medium,2025-06-10,5.9,0.0,,0.0,0.108,,ARC-AGI-2
105,Magistral Medium (Thinking),Mistral,10.06.2025,CoT,6.1%,0.0%,,$0.123,,📄,arc_agi_2,arc_agi_2:0105:magistral_medium_thinking,Magistral Medium (Thinking),Magistral Medium (Thinking),2025-06-10,6.1,0.0,,0.0,0.123,,ARC-AGI-2
106,Deepseek R1 (05/28),Deepseek,28.05.2025,CoT,21.2%,1.1%,,$0.053,,📄,arc_agi_2,arc_agi_2:0106:deepseek_r1_05_28,Deepseek R1 (05/28),Deepseek R1 (05/28),2025-05-28,21.2,1.1,,1.1,0.053,,ARC-AGI-2
107,Codex Mini (Latest),OpenAI,23.05.2025,CoT,27.3%,1.3%,,$0.230,,📄,arc_agi_2,arc_agi_2:0107:codex_mini_latest,Codex Mini (Latest),Codex Mini (Latest),2025-05-23,27.3,1.3,,1.3,0.23,,ARC-AGI-2
108,Gemini 2.5 Flash (Preview),Google,20.05.2025,CoT,33.3%,1.7%,,$0.057,,📄💻,arc_agi_2,arc_agi_2:0108:gemini_2_5_flash_preview,Gemini 2.5 Flash (Preview),Gemini 2.5 Flash (Preview),2025-05-20,33.3,1.7,,1.7,0.057,,ARC-AGI-2
109,Gemini 2.5 Flash (Preview) (Thinking 1K),Google,20.05.2025,CoT,16.0%,2.2%,,$0.030,,📄💻,arc_agi_2,arc_agi_2:0109:gemini_2_5_flash_preview_thinking_1k,Gemini 2.5 Flash (Preview) (Thinking 1K),Gemini 2.5 Flash (Preview) (Thinking 1K),2025-05-20,16.0,2.2,,2.2,0.03,,ARC-AGI-2
110,Gemini 2.5 Flash (Preview) (Thinking 8K),Google,20.05.2025,CoT,25.8%,2.1%,,$0.199,,📄💻,arc_agi_2,arc_agi_2:0110:gemini_2_5_flash_preview_thinking_8k,Gemini 2.5 Flash (Preview) (Thinking 8K),Gemini 2.5 Flash (Preview) (Thinking 8K),2025-05-20,25.8,2.1,,2.1,0.199,,ARC-AGI-2
111,Gemini 2.5 Flash (Preview) (Thinking 16K),Google,20.05.2025,CoT,33.3%,2.0%,,$0.317,,📄💻,arc_agi_2,arc_agi_2:0111:gemini_2_5_flash_preview_thinking_16k,Gemini 2.5 Flash (Preview) (Thinking 16K),Gemini 2.5 Flash (Preview) (Thinking 16K),2025-05-20,33.3,2.0,,2.0,0.317,,ARC-AGI-2
112,Gemini 2.5 Flash (Preview) (Thinking 24K),Google,20.05.2025,CoT,32.3%,2.5%,,$0.319,,📄💻,arc_agi_2,arc_agi_2:0112:gemini_2_5_flash_preview_thinking_24k,Gemini 2.5 Flash (Preview) (Thinking 24K),Gemini 2.5 Flash (Preview) (Thinking 24K),2025-05-20,32.3,2.5,,2.5,0.319,,ARC-AGI-2
113,Claude Sonnet 4,Anthropic,14.05.2025,Base LLM,23.8%,1.3%,,$0.127,,📄,arc_agi_2,arc_agi_2:0113:claude_sonnet_4,Claude Sonnet 4,Claude Sonnet 4,2025-05-14,23.8,1.3,,1.3,0.127,,ARC-AGI-2
114,Claude Sonnet 4 (Thinking 1K),Anthropic,14.05.2025,CoT,28.0%,0.9%,,$0.142,,📄,arc_agi_2,arc_agi_2:0114:claude_sonnet_4_thinking_1k,Claude Sonnet 4 (Thinking 1K),Claude Sonnet 4 (Thinking 1K),2025-05-14,28.0,0.9,,0.9,0.142,,ARC-AGI-2
115,Claude Sonnet 4 (Thinking 8K),Anthropic,14.05.2025,CoT,29.0%,2.1%,,$0.265,,📄,arc_agi_2,arc_agi_2:0115:claude_sonnet_4_thinking_8k,Claude Sonnet 4 (Thinking 8K),Claude Sonnet 4 (Thinking 8K),2025-05-14,29.0,2.1,,2.1,0.265,,ARC-AGI-2
116,Claude Sonnet 4 (Thinking 16K),Anthropic,14.05.2025,CoT,40.0%,5.9%,,$0.486,,📄,arc_agi_2,arc_agi_2:0116:claude_sonnet_4_thinking_16k,Claude Sonnet 4 (Thinking 16K),Claude Sonnet 4 (Thinking 16K),2025-05-14,40.0,5.9,,5.9,0.486,,ARC-AGI-2
117,Claude Opus 4 (Thinking 16K),Anthropic,14.05.2025,CoT,35.7%,8.6%,,$1.93,,📄,arc_agi_2,arc_agi_2:0117:claude_opus_4_thinking_16k,Claude Opus 4 (Thinking 16K),Claude Opus 4 (Thinking 16K),2025-05-14,35.7,8.6,,8.6,1.93,,ARC-AGI-2
118,Claude Opus 4 (Thinking 8K),Anthropic,14.05.2025,CoT,30.7%,4.5%,,$1.16,,📄,arc_agi_2,arc_agi_2:0118:claude_opus_4_thinking_8k,Claude Opus 4 (Thinking 8K),Claude Opus 4 (Thinking 8K),2025-05-14,30.7,4.5,,4.5,1.16,,ARC-AGI-2
119,Claude Opus 4 (Thinking 1K),Anthropic,14.05.2025,CoT,27.0%,0.0%,,$0.750,,📄,arc_agi_2,arc_agi_2:0119:claude_opus_4_thinking_1k,Claude Opus 4 (Thinking 1K),Claude Opus 4 (Thinking 1K),2025-05-14,27.0,0.0,,0.0,0.75,,ARC-AGI-2
120,Claude Opus 4,Anthropic,14.05.2025,CoT,22.5%,1.3%,,$0.639,,📄,arc_agi_2,arc_agi_2:0120:claude_opus_4,Claude Opus 4,Claude Opus 4,2025-05-14,22.5,1.3,,1.3,0.639,,ARC-AGI-2
121,o3 (Low),OpenAI,16.04.2025,CoT,41.5%,2.0%,,$0.234,,—,arc_agi_2,arc_agi_2:0121:o3_low,o3 (Low),o3 (Low),2025-04-16,41.5,2.0,,2.0,0.234,,ARC-AGI-2
122,o3 (Medium),OpenAI,16.04.2025,CoT,53.8%,3.0%,,$0.479,,—,arc_agi_2,arc_agi_2:0122:o3_medium,o3 (Medium),o3 (Medium),2025-04-16,53.8,3.0,,3.0,0.479,,ARC-AGI-2
123,o3 (High),OpenAI,16.04.2025,CoT,60.8%,6.5%,,$0.834,,—,arc_agi_2,arc_agi_2:0123:o3_high,o3 (High),o3 (High),2025-04-16,60.8,6.5,,6.5,0.834,,ARC-AGI-2
124,o4-mini (Low),OpenAI,16.04.2025,CoT,21.3%,1.7%,,$0.050,,—,arc_agi_2,arc_agi_2:0124:o4_mini_low,o4-mini (Low),o4-mini (Low),2025-04-16,21.3,1.7,,1.7,0.05,,ARC-AGI-2
125,o4-mini (Medium),OpenAI,16.04.2025,CoT,41.8%,2.4%,,$0.231,,—,arc_agi_2,arc_agi_2:0125:o4_mini_medium,o4-mini (Medium),o4-mini (Medium),2025-04-16,41.8,2.4,,2.4,0.231,,ARC-AGI-2
126,o4-mini (High),OpenAI,16.04.2025,CoT,58.7%,6.1%,,$0.856,,—,arc_agi_2,arc_agi_2:0126:o4_mini_high,o4-mini (High),o4-mini (High),2025-04-16,58.7,6.1,,6.1,0.856,,ARC-AGI-2
127,GPT-4.1-Nano,OpenAI,14.04.2025,Base LLM,0.0%,0.0%,,$0.004,,📄💻,arc_agi_2,arc_agi_2:0127:gpt_4_1_nano,GPT-4.1-Nano,GPT-4.1-Nano,2025-04-14,0.0,0.0,,0.0,0.004,,ARC-AGI-2
128,GPT-4.1-Mini,OpenAI,14.04.2025,Base LLM,3.5%,0.0%,,$0.014,,📄💻,arc_agi_2,arc_agi_2:0128:gpt_4_1_mini,GPT-4.1-Mini,GPT-4.1-Mini,2025-04-14,3.5,0.0,,0.0,0.014,,ARC-AGI-2
129,GPT-4.1,OpenAI,14.04.2025,Base LLM,5.5%,0.4%,,$0.069,,📄💻,arc_agi_2,arc_agi_2:0129:gpt_4_1,GPT-4.1,GPT-4.1,2025-04-14,5.5,0.4,,0.4,0.069,,ARC-AGI-2
130,Llama 4 Maverick,Meta,05.04.2025,Base LLM,4.4%,0.0%,,$0.012,,📄💻,arc_agi_2,arc_agi_2:0130:llama_4_maverick,Llama 4 Maverick,Llama 4 Maverick,2025-04-05,4.4,0.0,,0.0,0.012,,ARC-AGI-2
131,Llama 4 Scout,Meta,05.04.2025,Base LLM,0.5%,0.0%,,$0.006,,📄💻,arc_agi_2,arc_agi_2:0131:llama_4_scout,Llama 4 Scout,Llama 4 Scout,2025-04-05,0.5,0.0,,0.0,0.006,,ARC-AGI-2
132,GPT-4.5,OpenAI,27.02.2025,Base LLM,10.3%,0.8%,,$2.10,,💻,arc_agi_2,arc_agi_2:0132:gpt_4_5,GPT-4.5,GPT-4.5,2025-02-27,10.3,0.8,,0.8,2.1,,ARC-AGI-2
133,Claude 3.7,Anthropic,24.02.2025,Base LLM,13.6%,0.0%,,$0.120,,💻,arc_agi_2,arc_agi_2:0133:claude_3_7,Claude 3.7,Claude 3.7,2025-02-24,13.6,0.0,,0.0,0.12,,ARC-AGI-2
134,Claude 3.7 (16K),Anthropic,24.02.2025,CoT,28.6%,0.7%,,$0.510,,💻,arc_agi_2,arc_agi_2:0134:claude_3_7_16k,Claude 3.7 (16K),Claude 3.7 (16K),2025-02-24,28.6,0.7,,0.7,0.51,,ARC-AGI-2
135,Claude 3.7 (1K),Anthropic,24.02.2025,CoT,11.6%,0.4%,,$0.140,,💻,arc_agi_2,arc_agi_2:0135:claude_3_7_1k,Claude 3.7 (1K),Claude 3.7 (1K),2025-02-24,11.6,0.4,,0.4,0.14,,ARC-AGI-2
136,Claude 3.7 (8K),Anthropic,24.02.2025,CoT,21.2%,0.9%,,$0.360,,💻,arc_agi_2,arc_agi_2:0136:claude_3_7_8k,Claude 3.7 (8K),Claude 3.7 (8K),2025-02-24,21.2,0.9,,0.9,0.36,,ARC-AGI-2
137,Grok 3,xAI,19.02.2025,Base LLM,5.5%,0.0%,,$0.142,,📄,arc_agi_2,arc_agi_2:0137:grok_3,Grok 3,Grok 3,2025-02-19,5.5,0.0,,0.0,0.142,,ARC-AGI-2
138,Grok 3 Mini (Low),xAI,19.02.2025,CoT,16.5%,0.4%,,$0.013,,📄,arc_agi_2,arc_agi_2:0138:grok_3_mini_low,Grok 3 Mini (Low),Grok 3 Mini (Low),2025-02-19,16.5,0.4,,0.4,0.013,,ARC-AGI-2
139,Gemini 2.5 Pro (Preview),Google,19.02.2025,CoT,33.0%,3.8%,,$0.813,,📄,arc_agi_2,arc_agi_2:0139:gemini_2_5_pro_preview,Gemini 2.5 Pro (Preview),Gemini 2.5 Pro (Preview),2025-02-19,33.0,3.8,,3.8,0.813,,ARC-AGI-2
140,Gemini 2.5 Pro (Preview - Thinking 1K),Google,19.02.2025,CoT,31.3%,3.4%,,$0.804,,📄,arc_agi_2,arc_agi_2:0140:gemini_2_5_pro_preview_thinking_1k,Gemini 2.5 Pro (Preview - Thinking 1K),Gemini 2.5 Pro (Preview - Thinking 1K),2025-02-19,31.3,3.4,,3.4,0.804,,ARC-AGI-2
141,Gemini 1.5 Pro,Google,15.02.2025,Base LLM,,0.8%,,$0.040,,💻,arc_agi_2,arc_agi_2:0141:gemini_1_5_pro,Gemini 1.5 Pro,Gemini 1.5 Pro,2025-02-15,,0.8,,0.8,0.04,,ARC-AGI-2
142,Gemini 2.0 Flash,Google,02.02.2025,Base LLM,,1.3%,,$0.004,,💻,arc_agi_2,arc_agi_2:0142:gemini_2_0_flash,Gemini 2.0 Flash,Gemini 2.0 Flash,2025-02-02,,1.3,,1.3,0.004,,ARC-AGI-2
143,o3-mini (Low),OpenAI,31.01.2025,CoT,14.5%,0.0%,,$0.062,,—,arc_agi_2,arc_agi_2:0143:o3_mini_low,o3-mini (Low),o3-mini (Low),2025-01-31,14.5,0.0,,0.0,0.062,,ARC-AGI-2
144,o3-mini (Medium),OpenAI,31.01.2025,CoT,22.3%,2.1%,,$0.284,,—,arc_agi_2,arc_agi_2:0144:o3_mini_medium,o3-mini (Medium),o3-mini (Medium),2025-01-31,22.3,2.1,,2.1,0.284,,ARC-AGI-2
145,o3-mini (High),OpenAI,31.01.2025,CoT,34.5%,3.0%,,$0.547,,—,arc_agi_2,arc_agi_2:0145:o3_mini_high,o3-mini (High),o3-mini (High),2025-01-31,34.5,3.0,,3.0,0.547,,ARC-AGI-2
146,Deepseek R1,Deepseek,22.01.2025,CoT,15.8%,1.3%,,$0.080,,💻,arc_agi_2,arc_agi_2:0146:deepseek_r1,Deepseek R1,Deepseek R1,2025-01-22,15.8,1.3,,1.3,0.08,,ARC-AGI-2
147,o3 (Preview - Low) ¹,OpenAI,20.12.2024,CoT + Synthesis,75.7%,4.0%,,$200.00,,📄,arc_agi_2,arc_agi_2:0147:o3_preview_low_1,o3 (Preview - Low) ¹,o3 (Preview - Low) ¹,2024-12-20,75.7,4.0,,4.0,200.0,,ARC-AGI-2
148,GPT-4o,OpenAI,20.11.2024,Base LLM,4.5%,0.0%,,$0.080,,💻,arc_agi_2,arc_agi_2:0148:gpt_4o,GPT-4o,GPT-4o,2024-11-20,4.5,0.0,,0.0,0.08,,ARC-AGI-2
149,ARChitects,ARC Prize 2024,03.11.2024,Custom,56.0%,2.5%,,$0.200,,📄💻,arc_agi_2,arc_agi_2:0149:architects,ARChitects,ARChitects,2024-11-03,56.0,2.5,,2.5,0.2,,ARC-AGI-2
150,NVARC,ARC Prize 2025,03.11.2024,Custom,,27.6%,,$0.200,,📄💻,arc_agi_2,arc_agi_2:0150:nvarc,NVARC,NVARC,2024-11-03,,27.6,,27.6,0.2,,ARC-AGI-2
151,o1-mini,OpenAI,12.09.2024,CoT,14.0%,0.8%,,$0.191,,📄💻,arc_agi_2,arc_agi_2:0151:o1_mini,o1-mini,o1-mini,2024-09-12,14.0,0.8,,0.8,0.191,,ARC-AGI-2
152,GPT-4o-mini,OpenAI,18.07.2024,Base LLM,,0.0%,,$0.010,,💻,arc_agi_2,arc_agi_2:0152:gpt_4o_mini,GPT-4o-mini,GPT-4o-mini,2024-07-18,,0.0,,0.0,0.01,,ARC-AGI-2
153,Icecuber,ARC Prize 2024,03.11.2023,Custom,17.0%,1.6%,,$0.130,,💻,arc_agi_2,arc_agi_2:0153:icecuber,Icecuber,Icecuber,2023-11-03,17.0,1.6,,1.6,0.13,,ARC-AGI-2
154,Human Panel,Human,,,98.0%,100.0%,,$17.00,,—,arc_agi_2,arc_agi_2:0154:human_panel,Human Panel,Human Panel,,98.0,100.0,,100.0,17.0,,ARC-AGI-2
155,Avg. Mturker,Human,,,77.0%,,,$3.00,,—,arc_agi_2,arc_agi_2:0155:avg_mturker,Avg. Mturker,Avg. Mturker,,77.0,,,,3.0,,ARC-AGI-2
156,Stem Grad,Human,,,98.0%,,,$10.00,,—,arc_agi_2,arc_agi_2:0156:stem_grad,Stem Grad,Stem Grad,,98.0,,,,10.0,,ARC-AGI-2
